epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.6209,1.53246,3.89323,1.59186,0.02302,0.6738,0.06968,0.03953,1.15998,3.53588,1.37935,0.00013685,0.00013685,0.00013685
2,46.2506,1.18896,3.22857,1.32501,0.0338,0.70532,0.17968,0.14557,1.19558,3.33897,1.50231,0.000276881,0.000276881,0.000276881
3,53.5612,1.09448,2.65076,1.28807,0.71487,0.1769,0.33877,0.27957,1.20279,3.00646,1.54687,0.000414085,0.000414085,0.000414085
4,60.5411,1.03948,2.12009,1.23844,0.68194,0.34925,0.44912,0.36081,1.25866,2.6505,1.6123,0.000548462,0.000548462,0.000548462
5,67.5082,1.03236,1.87269,1.25198,0.58589,0.4401,0.4446,0.35473,1.24723,2.3438,1.60723,0.000680011,0.000680011,0.000680011
6,74.4633,0.97371,1.61712,1.22801,0.63986,0.5562,0.60792,0.48874,1.17171,1.98251,1.56931,0.000678657,0.000678657,0.000678657
7,81.4334,0.9162,1.48472,1.186,0.64635,0.64695,0.66709,0.53003,1.18335,1.89162,1.61355,0.000671588,0.000671588,0.000671588
1,17.8314,1.45633,3.93854,1.42409,0.01563,0.57867,0.08381,0.05446,1.38296,3.55099,1.64018,0.000139555,0.000139555,0.000139555
2,29.6766,1.11346,2.81274,1.18493,0.56978,0.26135,0.30544,0.22943,1.4709,3.14042,1.80946,0.000279559,0.000279559,0.000279559
3,39.9368,0.96706,1.86709,1.11745,0.61752,0.43007,0.49587,0.36437,1.48051,2.58443,1.84903,0.000416736,0.000416736,0.000416736
4,50.6484,0.91638,1.45168,1.08569,0.75281,0.49153,0.60795,0.44214,1.42981,2.11482,1.85955,0.000551086,0.000551086,0.000551086
5,59.7804,0.85073,1.20964,1.05358,0.79097,0.61498,0.68868,0.50541,1.39095,1.99305,1.81523,0.000682609,0.000682609,0.000682609
6,67.9897,0.7945,1.07308,1.03432,0.86215,0.5876,0.72519,0.54154,1.30924,1.82258,1.68727,0.000678657,0.000678657,0.000678657
7,77.4767,0.74652,0.98018,1.01141,0.82125,0.64349,0.75448,0.57146,1.28198,1.69669,1.66958,0.000671588,0.000671588,0.000671588
8,86.6796,0.70853,0.92424,1.00972,0.86532,0.62879,0.75435,0.58087,1.23383,1.61513,1.63204,0.00066452,0.00066452,0.00066452
9,94.9946,0.69523,0.88371,0.99046,0.87668,0.65449,0.78466,0.61627,1.21584,1.52046,1.61554,0.000657451,0.000657451,0.000657451
10,102.283,0.66318,0.82325,0.98291,0.89351,0.65849,0.79428,0.61861,1.20652,1.5568,1.64896,0.000650383,0.000650383,0.000650383
11,110.633,0.63789,0.79833,0.97206,0.87082,0.65341,0.80367,0.62691,1.23542,1.52534,1.68909,0.000643314,0.000643314,0.000643314
12,119.213,0.61756,0.75846,0.95668,0.86585,0.71682,0.8304,0.65107,1.15883,1.38227,1.59909,0.000636245,0.000636245,0.000636245
13,128.322,0.58597,0.73228,0.95261,0.87589,0.72282,0.81956,0.63276,1.15568,1.31992,1.59692,0.000629177,0.000629177,0.000629177
14,137.658,0.58054,0.70981,0.94527,0.88952,0.71612,0.83871,0.65986,1.14173,1.32064,1.60174,0.000622108,0.000622108,0.000622108
15,147.018,0.57223,0.69757,0.94966,0.85233,0.74247,0.841,0.66019,1.16406,1.3633,1.59424,0.00061504,0.00061504,0.00061504
16,156.166,0.55295,0.68204,0.93232,0.90838,0.702,0.84734,0.67221,1.13021,1.27947,1.57953,0.000607971,0.000607971,0.000607971
17,165.418,0.5438,0.65454,0.92676,0.88914,0.72366,0.8474,0.67455,1.12384,1.23087,1.55808,0.000600902,0.000600902,0.000600902
18,174.53,0.52341,0.64284,0.92615,0.87739,0.73943,0.87117,0.696,1.0831,1.18167,1.53061,0.000593834,0.000593834,0.000593834
19,183.915,0.52639,0.62883,0.92456,0.88419,0.74621,0.87386,0.68378,1.1228,1.23893,1.559,0.000586765,0.000586765,0.000586765
20,193.553,0.53415,0.64769,0.92528,0.90915,0.72238,0.87196,0.69739,1.12879,1.25439,1.58872,0.000579697,0.000579697,0.000579697
21,203.037,0.50115,0.61767,0.92097,0.89667,0.72737,0.86418,0.69518,1.14307,1.24564,1.63618,0.000572628,0.000572628,0.000572628
22,212.093,0.51972,0.61626,0.91818,0.89911,0.77883,0.90053,0.71614,1.07431,1.0787,1.54723,0.000565559,0.000565559,0.000565559
23,221.166,0.51072,0.61187,0.91782,0.86119,0.79023,0.88872,0.71692,1.08997,1.11681,1.52835,0.000558491,0.000558491,0.000558491
24,230.292,0.48923,0.59679,0.91269,0.88338,0.76149,0.89136,0.71819,1.05839,1.08865,1.52991,0.000551422,0.000551422,0.000551422
25,239.438,0.49594,0.58159,0.90414,0.85274,0.78927,0.89184,0.71838,1.0772,1.06603,1.55119,0.000544354,0.000544354,0.000544354
26,248.685,0.48179,0.57021,0.90402,0.8623,0.80127,0.89757,0.7203,1.05609,1.11919,1.50203,0.000537285,0.000537285,0.000537285
27,257.885,0.48881,0.57588,0.9085,0.85753,0.80036,0.8983,0.71611,1.07291,1.12425,1.51236,0.000530216,0.000530216,0.000530216
28,267.093,0.48765,0.57344,0.91504,0.85597,0.79613,0.89559,0.72555,1.01981,1.08495,1.4812,0.000523148,0.000523148,0.000523148
29,276.086,0.47092,0.55013,0.90007,0.88125,0.79462,0.89453,0.72085,1.05775,1.07662,1.50307,0.000516079,0.000516079,0.000516079
30,284.909,0.45682,0.54815,0.9009,0.90101,0.79829,0.9092,0.74025,1.02137,1.02126,1.48139,0.000509011,0.000509011,0.000509011
